,questions,labbel
5870,над снят апартамент в кишинев для землянин и кот,dwelling
5871,Есть ли возможность у кого-то остатся на несколько дней отдохнуть,dwelling
5872,кто сдаст отел в аренд,dwelling
5873,"если найдёте, напишите пожалуйста 🙏",other
5874,да где пропускают с животными нет паспортов и чипов как провести не бросать же детки везут,animals
5875,это на любом пункте с молдовой?,other
5876,здравствуйте скажите пожалуйста как обстоят дела с животными если с собой везти,animals
5877,кто на паланке очередь большая машин пешечком идущие как обстановка,border_situation
5878,Как забрать с собой собаку без Пасспорта,animals
5879,Как выискать ночлег,dwelling
5880,  ребёнка и   взрослых в тараклии или около есть кто-то кто хотел вблизи помочь жильём,dwelling
5881,сквозь как пункт лучш еха есл выезжа с одесс на такс объясн пожалуйст,best_border
5882,нужно купить я думаю,other
5883,кто-то будет ехать из коменское в молдову? нужно забрать женщину с двумя маленькими детьми!,other
5884,кто сейчас на границе как энергично пешая очередь двигается,border_situation
5885,Как зайти с животными,animals
5886,"спасибо!
а не знаете есть ли такой чат? очень полезный",other
5887,кто ехал через мирное белгород - днестровск в молдову   как там ситуация,border_situation
5888,У кого есть что-то вблизи кишинева чтобы жить,dwelling
5889,где сам близк жил,dwelling
5890,Смотрят ли аограничники на собак,animals
5891,добрый день как раскопать жильё в кишеневе,dwelling
5892,могил откр кпп таможн как там ситуац,border_situation
5893,ребят как пропускн кпп довольно работа сегоднязавтр,best_border
5894,где сам близк ночлег,dwelling
5895,ласковый деньа как на пропускных пунктах тудора и паланкапропускают без проблем,border_situation
5896,Как забрать животных с собой,animals
5897,подскаж кто сдает отел мы с маленьк ребенк,dwelling
5898,кто сдаст ночлег в аренд,dwelling
5899,Нас   человек кто сдаст квартиру на несколько дней,dwelling
5900,Кто может предложить ночлег,dwelling
5901,"думаете, когда все решится/закончится , можно будет вернуться в укр?",other
5902,Где самый близлежащий ночлег,dwelling
5903,как найт хостел,dwelling
5904,Извините кто знает когда пропустят с животными без пасспорта,animals
5905,благожелательный день подскажите сквозь какой кпп лучше сейчас двигаться из молдовы в румынию спасибо,best_border
5906,добрый день есть какая-то весть на счёт таможни старокозачье молдова   выпустят ли маму папу с двумя детьми младший без загранпаспорта,border_situation
5907,думаю везде можно будет поменять в обменники,other
5908,ест очеред на кпп мамалиг как ситуац,border_situation
5909,подскажите пожалуйста на какой границе в молдавию сейчас меньше всего очередь   пожалуйста нужно вывезти детей,best_border
5910,ребята ише раз говорю.у меня есть желье на чеканх,other
5911,добросердечный день подскажите через какой кпп лучше сейчас двигаться из молдовы в румынию спасибо,best_border
5912,Где пройти границу,best_border
5913,ребята что на кучурганекакая очередь сейчас туда выезжает моя мать с тремя детьми,border_situation
5914,как лучше ехать через паланку или кучурганы,border_situation
5915,как арендова дом в кишенев,dwelling
5916,подскаж пожалуйст может кто - т ночлег сдат на мног спал ил у кого - т свободн номер - кишенев- окрестн,dwelling
5917,Как найти в Кишиневе апартаменты на несколько дней,dwelling
5918,здравствуйте как сейчас на староказачье - тодора большие автомобильные очереди,border_situation
5919,здравствуйте скажите пожалуйста через какую таможню можно проехать из одессы в молдову   какая открыта,best_border
5920,мамалыга какая ситуация,border_situation
5921,кто сейчас на границе как энергично пешая очередь двигается,border_situation
5922,Где самый ближний ночлег,dwelling
5923,и вас... за такое отношение,other
5924,Ищу в кишиневе квартиру для семьи из   человек и   ребёнка,dwelling
5925,кто может помочь с выездом из николаева???,other
5926,можн пересеч таможн молдав с румын пешк есл да то как таможн,border_situation
5927,подскажите пожалуйста какая обстановка на паланки   какая очередь,border_situation
5928,кто на паланка или старокозачем   напишите какие очереди,border_situation
5929,подскаж как обсто дел на пункт мамалыг,border_situation
5930,через как границ лучш еха есл выезжа с одесс на такс объясн пожалуйст,best_border
5931,сквозь как пункт еха,best_border
5932,все про паланк пишут а что - т слышн про пункт станиславк там ест волонтер какие - тоесл буд еха то через этот пункт так как ближ всег я с ребенк лет есл ест хот какая - т информац напиш пожалуйст,border_situation
5933,ребята из молдавий на машинах как обстановка на отаках,border_situation
5934,пропускн проездной пунк староказач табак подскаж как там обсто дел,border_situation
5935,как сейчас обсто на проездной пунк старокозач,border_situation
5936,Как раскопать ночлег в Кишиневе,dwelling
5937,пожалуйста подскажите какой кпп лучше ехать,best_border
5938,распространите информацию о выезде для мужчин!!!,other
5939,"разные ответы ( 😕 
ребёнку 1,3 из молдавии в германию дальше на машине пустят без загранпаспорта?",other
5940,кто сейчас стоит на границах пожалуйста напишите какая обстановка где меньше машин мамалыга - крива росошаны кельменцы порубне смольница границы со словакией,best_border
5941,Нужно безотлагательно жильё в кишиневе,dwelling
5942,где можн снят отел для цел сем,dwelling
5943,Кто знает метод как забрать животных без пасспорта,animals
5944,подскаж пожалуйст как ситуац сейчас на проездной пунк с молдов где - скольк машин в очеред на въезд,best_border
5945,подскажите как обстоят дела на кпп мирноетабаки очередь питаться,border_situation
5946,У кого можно снять дом для семьи на несколько дней,dwelling
5947,все про паланк пишут а что - т слышн про таможн станиславк там ест волонтер какие - тоесл буд еха то через этот пункт так как ближ всег я с ребенк лет есл ест хот какая - т информац напиш пожалуйст,border_situation
5948,какая граница не необычайно перегруженная в сторону молдавии если ехать с киева,best_border
5949,подскажите чат кто помогает в польше🙏🙏🙏🙏,other
5950,ребята кто в бессарабке на пункте пропуска   как там дела   много людей когда переходить пешком,border_situation
5951,как таможн лучш с сторон одес,best_border
5952,ребята стоим   часа на подъезде к двум столбамскажите пожалуйста какая обстановка на паланкнговорят что не пускают,border_situation
5953,"уто едет из одессы на таможню, заберите 2 человек, пожалуйста!",other
5954,как найт ночлег в кишинев,dwelling
5955,как получ гостиниц,dwelling
5956,какая положение на паланке,border_situation
5957,как арендова гостиниц в кишенев,dwelling
5958,как найт квартир в кишинев,dwelling
5959,Есть кто кто помог бы найти жильё,dwelling
5960,добр утр кто подскажет по довод сдач жил в кишенев куд лучш обраща где иска родител вчер бежа в кишен пок что в помещен для времен размещен беженц,dwelling
5961,Можете сообщить как перевели своих любимцех через границу,animals
5962,Как лучше забрать с собой котов без прививок,animals
5963,сним апартамент на сутк в могилев - подольск с животн,dwelling
5964,Как забрать котов с собой сквозь границу,animals
5965,добрый вечер есть новость какая очеред на рени спасибо,border_situation
5966,подскажите пожалуйста какая ситуация на пункте пропуска староказачье много машин,border_situation
5967,Куда людей размещают в Кишиневе,dwelling
5968,какая обстановка на таможне е могилёв подольск как пропускают,border_situation
5969,Есть возможность у кого-то переночевать на несколько дней,dwelling
5970,где найт отел в кишинев,dwelling
5971,Как найти ночлег в Кишиневе,dwelling
5972,подскажите пожалуйста какая ситуация на границе кучурган очередь большая движется,border_situation
5973,подскажите автобус кишинёв львов 🙏🏽🙏🏽🙏🏽🙏🏽в лс,other
5974,добр ден подскаж пожалуйст на как пропускной пункт лучш отправ есл еха через новоднестровск,best_border
5975,ребята кто в бессарабке на пункте пропуска   как там дела   много людей если переходить на своих двоих,border_situation
5976,Пропускают ли пройти границу с домашними животными,animals
5977,ласковый вечер есть информация какая очеред на рени мерси,border_situation
5978,Как возможно снать жильё в кишинёве,dwelling
5979,кто-то может забрать с борисполя и довести в киев по адресу? срочно🙏🏽,other
5980,есть достоверная новость какая сейчас обстановка на паланке большие очереди,border_situation
5981,в кишин хот снят дом ил отел взросл и дет,dwelling
5982,Животных пускают   У моей собаки нет документов,animals
5983,подскаж пожалуйст как обсто дел на таможн паланк на дан мгновение есл еха из одесс то лучш через паланк ил друг пункт болград рен ещ какой - т,best_border
5984,как сам небольш проездной билет пунк на молдов реальн на машин проеха,best_border
5985,Где можно найти в кишиневе комнату на сдачу,dwelling
5986,кто может предлож ночлег,dwelling
5987,Извините кто знает если пропустят с собакой,animals
5988,доброжелательный деньа как на пропускных пунктах тудора и паланкапропускают без проблем,border_situation
5989,на кпп пропуска животн без документ,animals
5990,мягкосердечный день как раскопать жильё в кишеневе,dwelling
5991,как арендова дом в кишенев,dwelling
5992,как найт апартамент в кишинев,dwelling
5993,где можн узна как обстановк пропускн пропускной пункт рен джурджулешт можн проеха,border_situation
5994,как арендова ночлег в кишенев,dwelling
5995,где можн снят жил для цел сем,dwelling
5996,как пропускн таможн имеет меньш люд,best_border
5997,ребята скажите кто-то знает какие-то отели в кишинёве где можно остановитьсясейчас пересекаем границу и будем туда ехать нас   человек в том числе   маленьких ребёнка,dwelling
5998,бессарабка как очередь интересует пешеходная скажите пожалуйста,border_situation
5999,ребята кто бессарабке на пункте пропуска   как там дела   много людей ежели переходить пешком,border_situation
6000,нет,other
6001,Где самый соседний ночлег,dwelling
6002,Где найти контакты людей которые сдают дома,dwelling
6003,ребята некто ехал счерез одессу на измаил как там обстановка,border_situation
6004,переходно пункт басарабяск как ситуац скольк ждат может кто - нибуд там сейчас спасиб,border_situation
6005,народ   как обстановка на старокозачье,border_situation
6006,Можете сообщить как пройти с собакой без международного пасспорта,animals
6007,у ког можн снят ночлег в кишинев на нескольк дне,dwelling
6008,здравствуйте скажите пожалуйста как обстоят дела с животными если с собой везти,animals
6009,подскажите какая сейчас положение по пробкам на паланку,border_situation
6010,час назад,other
6011,как пропускн границ имеет меньш люд,best_border
6012,Проверяют ли документы у животных при пересечение границы,animals
6013,!!!,other
6014,ребята какие границы ближайшие открыты коли ехать с одессы,best_border
6015,"мужчин берёте?
я хочу с мужем🙏",other
6016,"здравствуйте, да",other
6017,через какое кпп лучше ехать если выезжаешь с одессы на такси объясните пожалуйста,best_border
6018,подскажите пожалуйста как обстановка возле рени,border_situation
6019,  человек из украины ищут жильё среди них дети и пожилые желательно все вблизи большая семья кто может помочь,dwelling
6020,Пускаюи ли животных без международного пасспорта,animals
6021,подскажите где очереди меньше на каком пропускном,best_border
6022,Каке документы проверяют у животных,animals
6023,как сейчас ситуац пункт паланк и проездной билет пунк старокозач,border_situation
6024,Какая кпп быстрее,best_border
6025,"ребята , а если нас не пропустят ? что же делать ? прописки и заграна нет . но есть укр паспорт и свидетельство о рождении ребёнка",other
6026,Как проехать с котами в Молдову,animals
6027,подскаж пожалуйст сквозь как таможн можн пройт пешк желательн не со сторон одесс,best_border
6028,могил откр таможн таможн как там ситуац,border_situation
6029,какая обстановка на границе отачь,border_situation
6030,все про паланку пишут а что-то слышно про пункт станиславка там питаться волонтеры какие - тоесли буду ехать то через этот пункт так как ближе всего я с ребёнком   лет если есть хоть какая-то сообщение напишите пожалуйста,border_situation
6031,позвол ли на пункт пройт с нечипирова собак,animals
6032,арендуем квартиру как минимум на месяц в кишинёве для беженцев из украины в районе албишоары заикин петру рареш для мамы с дочкой   года и бабушки с дедом нужны   комнаты раздельные пишите в лс спасибо за помощь,dwelling
6033,а ещё подскажите пожалуйста кто проезжал через какой населенный пункт лучше пересекать границу,best_border
6034,помог пожалуйст нуж дом в кишинев,dwelling
6035,напиши,other
6036,Как найти приют на несколько дней,dwelling
6037,скажите на какой границе к молдове сейчас реально уехать на своей машине где не в значительной мере огромная пробка,best_border
6038,На котов тоже надо документов,animals
6039,где сам близк ночлег,dwelling
6040,Скажите где возможно снять квартиру в Кишиневе,dwelling
6041,пожалуйста поделитесь как на пункте мамалыга сколько машин стоит ли туда ехать или на другой где сейчас проще пробраться в молдову или румынию,best_border
6042,как найт границ размещен беженц в кишинев,dwelling
6043,как получ отел,dwelling
6044,Как зайти с животными,animals
6045,"условия приличные, есть комнаты 2,3,4 кровати, вода еда туалеты и тд",other
6046,Кто может предоставить квартиру в аренду на несколько дней для семьи,dwelling
6047,добрый вечер есть сведение какая очеред на рени спасибо,border_situation
6048,кто знает какая положение на таможне в могилёв - подольске,border_situation
6049,подскаж как найт гостиниц в кишинев,dwelling
6050,как лучше ехать через паланку или кучурганы,border_situation
6051,скажите пожалуйста через какие таможни можно пройти в молдову раз ехать с киева,best_border
6052,Кто может поспособствовать жильём,dwelling
6053,Какие условия чтобы пустили с котом,animals
6054,есть знание сейчас какая обстановка на границе в атачь   с той стороны большая очередь  ,border_situation
6055,Как заглянуть в молдову буде нет вакцин на котов,animals
6056,ребят как обстановк на таможн бессарабк заран благодар,border_situation
6057,где сам близк квартир,dwelling
6058,добрый день как выискать жильё в кишеневе,dwelling
6059,все про паланку пишут а что-то слышно про пункт станиславка там есть волонтеры какие - тоесли буду ехать то через этот пункт так как ближе всего я с ребёнком   лет если есть хоть какая-то знание напишите пожалуйста,border_situation
6060,свободн ночлег в кишин ест срочн,dwelling
6061,Где в кишиневе найти апартаменты в аренду,dwelling
6062,кто знает какие очереди мамалыга бричаны,border_situation
6063,Нужна новость какая лучше граница для пересечений,best_border
6064,сквозь какой город лучше ехать через границу в молдову с животнымы пропускают,best_border
6065,Можете подсказать как перевусти животных через границу,animals
6066,подскажите через какой карточка пункт лучше пересекать границу с молдавией   если ехать с западной украины   плиз я девочка и вообще не разбираюсь,best_border
6067,подскаж где меньш пробк для аат есл еха из чернрвц румын ил молдов как кпп,best_border
6068,Нужна знание какая лучше граница для пересечений,best_border
6069,Скажите пожалуйста где можно перейти границу с котом,animals
6070,Какие ближайщие отели доступны для семьи,dwelling
6071,Кто может приютить семью на несколько дней,dwelling
6072,У кого есть жильё рядом кишинева,dwelling
6073,скажитеа как в могилёв - подольском в значительной мере большая очередь,border_situation
6074,Где меньше машин,best_border
6075,Где самый ближний ночлег,dwelling
6076,"кто может помочь провести семью ( ребёнок)  с мужчиной через молдову 

мужчина военно не обязанный",other
6077,Ищем дом чтобы переночевать в кишиневе кто может помочь,dwelling
6078,все про паланку пишут а что-то слышно про пункт станиславка там есть волонтеры какие - тоесли буду ехать то через этот пункт так как ближе всего я с ребёнком   лет ежели есть хоть какая-то информация напишите пожалуйста,border_situation
6079,кто может помочь выехать с одессы в молдову? 1 человек,other
6080,подскажите как обстоят дела на границе молдова румыния большие очереди,border_situation
6081,все про паланк пишут а что - т слышн про пункт станиславк там ест волонтер какие - тоесл буд еха то через этот пункт так как ближ всег я с ребенк лет есл ест хот какая - т информац напиш пожалуйст,border_situation
6082,добрый свет подскажите как сегодня в тудорах много машин,border_situation
6083,проездной билет пунк старокозач ест ли какая - т инф очеред,border_situation
6084,позвол ли на границ пройт с нечипирова собак,animals
6085,Может некто сможет помочь с жильём,dwelling
6086,Как заглянуть в молдову коль нет вакцин на котов,animals
6087,Хотим поспать у кого можно,dwelling
6088,через как проездной пунк лучш еха есл выезжа с одесс на такс объясн пожалуйст,best_border
6089,сквозь как пункт лучш еха есл выезжа с одесс на такс объясн пожалуйст,best_border
6090,Как погран служба относятся к животным,animals
6091,кто может предлож дом,dwelling
6092,С котами можно въехать,animals
6093,как получ апартамент,dwelling
6094,кто может сдат квартир в аренд,dwelling
6095,У кого можно остатся на ночь в Кишиневе,dwelling
6096,помог пожалуйст нуж гостиниц в кишинев,dwelling
6097,можно,other
6098,есть очередь на кпп мамалига какая ситуация,border_situation
6099,позволят ли забрать с собой животных без вакцин,animals
6100,как обстоят дела на кучурганах,border_situation
6101,Подскажите как найти место где можно переночевать в Кишиневе,dwelling
6102,скажитеа как в могилёв - подольском зело большая очередь,border_situation
6103,напишите пожалуйста какая ситуация в атаки   после прохождения кпп в могилёве стоят ли перевозчики как после кпп добраться до кишинева две женщины и ребёнок большое спасибо,border_situation
6104,подскажите граница мамалыга какие там очереди,border_situation
6105,Те кто уже пересек границу как пограничники относились к животным,animals
6106,Подскажите как найти место где можно переночевать в Кишиневе,dwelling
6107,Нужна сообщение какая лучше граница для пересечений,best_border
6108,как найт апартамент в кишинев на нескольк дне,dwelling
6109,Можете расказать как перевели своих питомцев,animals
6110,Нас   человек надо отдохнуть в Кишиневе,dwelling
6111,Какие условия на паланке чтобы пустили с животными,animals
6112,Доброе утро кто может приютить на несколько дней,dwelling
6113,Где положение размещения беженцев в Кишиневе,dwelling
6114,выпускают даже по простому паспорту,other
6115,сним гостиниц на сутк в могилев - подольск с животн,dwelling
6116,на какой границе меньше людей   подскажите пожалуйста и где пропускают   молдова,best_border
6117,подскажите где меньше пробки для аато ежели ехать из чернрвцов румыния или молдова какой пункт,best_border
6118,через какое кпп лучше ехать буде выезжаешь с одессы на такси объясните пожалуйста,best_border
6119,ищ апартамент чтоб переночева в кишинев кто может помоч,dwelling
6120,народ как обстановка на кпп старокозачье большая ли очередь,border_situation
6121,Как привести своего кота в страну,animals
6122,все про паланк пишут а что - т слышн про пропускной пункт станиславк там ест волонтер какие - тоесл буд еха то через этот пункт так как ближ всег я с ребенк лет есл ест хот какая - т информац напиш пожалуйст,border_situation
6123,над гостиниц на сем в кишинев,dwelling
6124,Подскажите нас   человек нужно снять посуточно квартиры может у вас питаться варианты,dwelling
6125,сквозь как пункт еха,best_border
6126,добрый вечер есть информация какая очеред на рени спасибо,border_situation
6127,все про паланк пишут а что - т слышн про границ станиславк там ест волонтер какие - тоесл буд еха то через данный пункт так как ближ всег я с ребенк лет есл ест хот какая - т информац напиш пожалуйст,border_situation
6128,пока не понятно,other
6129,ест очеред на границ мамалиг как ситуац,border_situation
6130,можно пересечь таможню молдавий с румынией пешком если да то какой пункт,border_situation
6131,Где возможно арендовать квартиру на несколько дней,dwelling
6132,и нам пожалуйста,other
6133,здравств нужн ночлег ил номер в отел в кишин для взросл ребенок мес и маленьк собачк,dwelling
6134,кто знает какая положение на границе сокиряни - окница,border_situation
6135,Ищем дом чтобы переночевать в кишиневе кто может подсобить,dwelling
6136,кто знает в паланк с животн пускают,animals
6137,Извините кто знает когда пропустят с животными без пасспорта,animals
6138,Надо дом на семью в Кишиневе,dwelling
6139,как с проходом с животными -чип есть а паспорта нету,animals
6140,пожалуйста подскажите кто сейчас на границе или пересекал ее недавно - там   очереди одна для машин а другая для пешеходов верно как долго пешеходам ждать в очереди приходится примерно,border_situation
6141,подскаж можн ли проех проездной билет пунк с животн без паспорт животн и с ребенк без нотариальн разреш для выезд спасиб,animals
6142,кто знает какая граница менее загружена с одессы паланка или староказчье,best_border
6143,добрый день подскажите сквозь какой пункт лучше пересекать границу   мы едем из киевской области фастов,best_border
6144,кто может сдат хостел в аренд,dwelling
6145,Как раскопать ночлег в Кишиневе,dwelling
6146,У кого есть что-то недалеко кишинева чтобы жить,dwelling
6147,Кто сможет сдать квартиру,dwelling
6148,в какой части лучше пересекать границу с румынией из молдовы если переезжать границу лбди будут в пцнуте пропуска могилёв - подольский - отачь,best_border
6149,где найт дом в кишинев,dwelling
6150,кто на броннице как обстановка,border_situation
6151,здравств на как проездной пунк пересечен с молдов лучш еха со сторон винницк ил черновицк обл,best_border
6152,  землянин из украины ищут жильё среди них дети и пожилые желательно все рядом большая семья кто может помочь,dwelling
6153,какая ситуация сейчас на старокозачьем,border_situation
6154,"добрий день потрібно забрати 3 людини(пенсіонери, жінка) з черкас до кордону з молдовою або чернівців, хто може допомогти",other
6155,Пропускают ли с животными без документов,animals
6156,как сам небольш пункт на молдов реальн на машин проеха,best_border
6157,подскаж пожалуйстакуд пода от паланк на румын как кпп не забит и дорог ноч можн проеха,best_border
6158,есть у кого-то где-то вблизи тараклии жилье,dwelling
6159,Извините кто знает коль пропустят с собакой,animals
6160,кто знает как ситуац на проездной пунк в могилев - подольск,border_situation
6161,Как перейти границу с животными,animals
6162,украинц с киев на как кпп ближ и безопасн,best_border
6163,да где пропускают с животными нет паспортов и чипов как провести не бросать же детки везут,animals
6164,через как пункт лучш еха есл выезжа с одесс на такс объясн пожалуйст,best_border
6165,Молдова принимают котов без вакцин,animals
6166,подскажите   с одессы на молдавию на какую лучше ехать границу   где нет очереди   мерси,best_border
6167,в кишин хот снят ночлег ил отел взросл и дет,dwelling
6168,Может некто помочь с жильём,dwelling
6169,где можн снят ночлег для цел сем,dwelling
6170,что за проблема с документами?,other
6171,нежный вечер есть информация какая очеред на рени спасибо,border_situation
6172,все про паланк пишут а что - т слышн про пункт станиславк там ест волонтер какие - тоесл буд еха то через этот пункт так как ближ всег я с ребенк лет есл ест хот какая - т информац напиш пожалуйст,border_situation
6173,Как зайти в молдову если нет вакцин на котов,animals
6174,как найт проездной билет пунк размещен беженц в кишинев,dwelling
6175,позвол ли на кпп пройт с нечипирова собак,animals
6176,ребят скаж пожалуйст как ситуац на пункт в бричан,border_situation
6177,Как пересечь границу с котом,animals
6178,Как пройти Паланку с Животными,animals
6179,как найт жил,dwelling
6180,У кого можно снять квартиру в Кишиневе для семьи из   человек,dwelling
6181,сним отел на сутк в могилев - подольск с животн,dwelling
6182,Как забрать котов через границу,animals
6183,едем на кишинев   взрослых   ребенка два кота ищем жилье хоть какое-то переспать и помыться дальше куда-то будем двигаться,dwelling
6184,есть достоверная данные какая сейчас обстановка на паланке большие очереди,border_situation
6185,скажите как обстановка на границе кучурган,border_situation
6186,подскаж можн ли проех таможн с животн без паспорт животн и с ребенк без нотариальн разреш для выезд спасиб,animals
6187,подскажите как обстоят дела коль ехать через бессарабку,border_situation
6188,кто сдаст ночлег в аренд,dwelling
6189,здравств на как кпп пересечен с молдов лучш еха со сторон винницк ил черновицк обл,best_border
6190,Удастся провести животных чепез границу,animals
6191,Где можно поселится,dwelling
6192,Где в Кишиневе хорошие отели,dwelling
6193,напиш пожалуйст как ситуац в атак посл прохожден пункт в могилев сто ли перевозчик как посл пропускной пункт добра до кишинев две женщин и ребенок больш спасиб,border_situation
6194,На собаках нужны чипы,animals
6195,добр ден подскаж пожалуйст на как пункт лучш отправ есл еха через новоднестровск,best_border
6196,подскажите пожалуйста какая ситуация на пункте пропуска староказачье много машин,border_situation
6197,какая ситуация на паланке,border_situation
6198,скажитеа как в могилёв - подольском очень большая очередь,border_situation
6199,подскажите пожалуйста через какую таможню сейчас можно выехать с украины чтобы попасть в молдову где наименьшие очереди,best_border
6200,ищ дом сегодн в кишинев,dwelling
6201,Впустят в Молдову с животными,animals
6202,как найт гостиниц в кишинев,dwelling
6203,как найт квартир,dwelling
6204,У кого есть жильё поблизости кишинева,dwelling
6205,добр вечер мо мам и братец едут машин к пропускн пункт могилев - подольск может ли кто - т в ближайш от нег город предлож им хостел до рассвет документ все при себ имеют спасиб,dwelling
6206,добрый день подскажите сквозь какой пункт лучше пересекать границу   мы едем из киевской области фастов,best_border
6207,как найт дом в кишинев на нескольк дне,dwelling
6208,Как выискать дом в Кишиневе на несколько дней,dwelling
6209,Добрый день кто сдаст -вух комнатную квартиру в кишиневе,dwelling
6210,Все отели заняты может вы знаете куда можно остановится на несколько дней,dwelling
6211,Может кто-то подсобить с жильём,dwelling
6212,какая граница не дюже перегруженная в сторону молдавии если ехать с киева,best_border
6213,здравств на как пункт пересечен с молдов лучш еха со сторон винницк ил черновицк обл,best_border
6214,пропускн таможн староказач табак подскаж как там обсто дел,border_situation
6215,сквозь как кпп еха,best_border
6216,у ког можн снят квартир для сем на нескольк дне,dwelling
6217,над снят ночлег в кишинев для человек и кот,dwelling
6218,есть у кого-то где-то невдалеке тараклии жилье,dwelling
6219,сквозь как таможн лучш еха есл выезжа с одесс на такс объясн пожалуйст,best_border
6220,Кишинев где можно снять не дорого квартиру,dwelling
6221,ребята подскажите как обстановка на кп серпневе и по дороге туда простите плиз если дублирую не видела ответ,border_situation
6222,Может некто сможет помочь с жильём,dwelling
6223,куд в кишинев обращат чтоб получ ночлег,dwelling
6224,у меня мама в берлине и дети очень хотят к бабушке( переживают,other
6225,как пропускн карточка пунк имеет меньш люд,best_border
6226,Как Молдова относится животным   пускают ли их в страну,animals
6227,как найт гостиниц в кишинев,dwelling
6228,кто ехал через мирное белгород - днестровск в молдову   как там ситуация,border_situation
6229,подскажите пожалуйста какой из молдавских пропускных пунктов менее всего загружен кто сейчас там подскажите куда лучше ехать   мы с двумя маленькими детьми,best_border
